delta_gap_Tpolicy,delta_gap_Teval
-0.0005033227025367237,-0.0005938645303450452
-0.0005237881919931686,-0.0004983929937228959
-0.0003993275032266874,-0.000668993585433264
-0.0005296875387906796,-0.0004971104717521602
-0.0005832628148478847,-0.0004512867562289635
-0.0004802976667940273,-0.0006705456335620585
-0.000521320463597541,-0.0006521091003608426
-0.0005551759391363431,-0.0005894712394385326
-0.0005137741728354905,-0.0004789666906074297
-0.0004634885090125662,-0.0004232402617666553
-0.00041119887962792756,-0.0005366854197740301
-0.000525068017348973,-0.0007008475330795294
-0.0005036332689170031,-0.000583091137169256
-0.00038084976277463767,-0.0006075815456914047
-0.0004933378604350391,-0.0005648131899320674
-0.0004452975528332903,-0.0004902214320844367
-0.0004841888021912544,-0.0005363537196594326
-0.0003287453892785175,-0.0005776408683287881
-0.0006424836525377176,-0.0005804558357644929
-0.0005110918443955725,-0.0004638247372009685
-0.00048655668094665927,-0.0005348908870341784
-0.00046076744272838255,-0.0005800376723037459
-0.00045546223808368147,-0.0005226018365733776
-0.0004892524987553104,-0.0006425890261525513
-0.0005666092682441448,-0.0006571082196155098
-0.00047254017261899595,-0.00048118510082484356
-0.0005347736356008381,-0.0005832645739612952
-0.0004056268863964485,-0.0005341078992643356
-0.0004698150557770342,-0.0004971191633403871
-0.0006326039863407962,-0.0007181922194208212
-0.00044369744202643613,-0.0005883829071255953
-0.00046344979818702114,-0.0005043822704755563
-0.0005566766787512556,-0.0005993464846141272
-0.0005475610345726523,-0.0006799121440468348
-0.0004305536951604294,-0.00048423836847000246
-0.0005290798607333613,-0.0004724364234445222
-0.0005010459139377366,-0.0005658630582661139
-0.0005275202876209306,-0.0005525968992875496
-0.000543004175992956,-0.00045609025407289394
-0.000532449641016286,-0.0006619412830487503
-0.0005436986410399802,-0.0006903778935771765
-0.0004428950756718564,-0.0007358193143514047
-0.00037635924710366364,-0.0005905916869997085
-0.0003815269600581095,-0.0006043796553802938
-0.0005441000874204516,-0.000574340751948399
-0.00036852186820024446,-0.00056495010278379
-0.000438976405431335,-0.00040593578484759973
-0.000510713431936316,-0.0007131516586136311
-0.00064868544803387,-0.0005132987032063774
-0.0005517030248446408,-0.0006873945187160224
-0.0005070323140614619,-0.0005884985527846442
-0.0005491509220646451,-0.0005807015509413649
-0.0004108730835120644,-0.0006271214430694227
-0.0006013897706687032,-0.0006336258461036026
-0.0004236383054634363,-0.0004944097350502163
-0.00040826633465629314,-0.00041161357936680965
-0.0005240833037695181,-0.0006966916213776431
-0.0005567372784539559,-0.0005776661510369374
-0.00044867924077574006,-0.0005814381752140552
-0.0005348225828318842,-0.0005132034443339206
-0.00042969049513785773,-0.0005906379086979552
-0.0006413031071246245,-0.0006672303754129416
-0.0005952319236260939,-0.0005383924920243643
-0.0005208284895876769,-0.0006625511690780961
-0.0005175937506715078,-0.0006294222993989962
-0.0004823605997353875,-0.0005111790154170848
-0.0004065051750331561,-0.0007255140781238234
-0.0004497848096225443,-0.0006390774775204555
-0.00046788473432923805,-0.0006535452894871341
-0.00048553946453755437,-0.0005520712911605274
-0.0005011226304504346,-0.0005493139965800919
-0.0005662224676341587,-0.0006924584261852607
-0.0005454397098246799,-0.000546662806328313
-0.0004028344293770525,-0.0005183444397378612
-0.0005793359625750893,-0.00043531594575318966
-0.0006230025592870447,-0.0005188492395695743
-0.0005985000967968501,-0.0005160746598447119
-0.0005146998392969726,-0.0005131861866181087
-0.0005168645644136882,-0.0005573267352297906
-0.000419304645644325,-0.0005204061187379372
-0.0005883595175592005,-0.0006799240498628345
-0.0004354999309061913,-0.0005058128485752045
-0.00042571348626485594,-0.0005978922964393618
-0.0006225376281877582,-0.0005082873398706278
-0.00040880912448404416,-0.0006806986626936018
-0.00043420519031722726,-0.0006251823285289282
-0.00039748765329938873,-0.0005535783750105772
-0.0005255945808704254,-0.0006455443016277762
-0.0004858360049210253,-0.0004957462091225162
-0.0006004297845433326,-0.0005896756131035241
-0.0003237759740786217,-0.000533779643681842
-0.0004270767013713206,-0.0006260100630799403
-0.0004790892454382689,-0.0006008560010175579
-0.0005094753556771359,-0.0005212826929705816
-0.000451080383875313,-0.0006275903259111981
-0.0004541751598384769,-0.0005029365630493388
-0.0003772536200132848,-0.0006057462231047195
-0.0005584627484710447,-0.0005546133994052127
-0.0005430824629791831,-0.0006118621400559299
-0.0005793083501099971,-0.0005557650515798374
-0.0005781641422156758,-0.0004114797251143498
-0.000605502116466039,-0.0005396520430073215
-0.0004919628364751238,-0.0005752907801618301
-0.00038554361402620696,-0.0005951071489115334
-0.000577611412868495,-0.0005353049900100881
-0.00045462933587747667,-0.0006488387320709998
-0.0004728094466858179,-0.0005665225494511095
-0.00047235315310445447,-0.0005812920626190321
-0.00047781759614362596,-0.000490204836522401
-0.0004573065140444088,-0.0006009576822290086
-0.00044018387374777923,-0.0005075063008570524
-0.0004327517772659828,-0.00048547322674874493
-0.00048037386662180825,-0.0006579428478336036
-0.0004779152377464291,-0.0005734138936998034
-0.0006394419457367295,-0.0005903085986354029
-0.0005932500679572961,-0.000551405311613351
-0.0005207167128499224,-0.0005161201498475876
-0.00038121575157801235,-0.0007091977520278236
-0.0003875487743172368,-0.00043292022793728346
-0.0004767833002456978,-0.0006838820125426581
-0.0005592443846714756,-0.0004899356922958287
-0.00043260138098955014,-0.0007111649527424824
-0.0004878657786890894,-0.0006268665649891147
-0.0004579789376574217,-0.000551096253403105
-0.0004585618622090504,-0.000641213679989705
-0.0006105117032855212,-0.0006607067086854546
-0.0005527124181200493,-0.00039737700572317625
-0.00035928892538727997,-0.0006173508095135283
-0.0005066007306209208,-0.0003655833135886022
-0.000394808963730231,-0.0006265758905049656
-0.00045812496925778934,-0.0005390980650368249
-0.0004270852933521141,-0.0005262517620467921
-0.00043798974978148664,-0.0007294971190333621
-0.0004492138947521651,-0.0007235920844147481
-0.000576341706831518,-0.0005125963909118347
-0.0003966071288110662,-0.0005508075160401971
-0.0006569742815915047,-0.0006161197431464593
-0.0006911385937273806,-0.0004578054755172145
-0.0005252693242036033,-0.0005617683553618136
-0.0006440791825820247,-0.0007037910813615378
-0.0005405134465589212,-0.0005977227824368603
-0.0004988987968400638,-0.0005138158822501904
-0.0005691263186219375,-0.0005172230243650766
-0.0004990762302332641,-0.0005335488762067131
-0.0006537367953693973,-0.0005470618811476147
-0.0005877080081106989,-0.0005411797397693041
-0.0005340597706589012,-0.000521685864925292
-0.0005019106999806233,-0.0005810862722408494
-0.00045495512673665583,-0.0006422051691639119
-0.0005133962695370586,-0.000674072169165485
-0.0004709006943344196,-0.00040625935491234166
-0.0004649353010305335,-0.0005022545181683213
-0.0004002038388357665,-0.000529052489696813
-0.000461766221457216,-0.0005763430047613927
-0.0006598900682208697,-0.0006083052063524663
-0.0005884105804261353,-0.0004791834475832424
-0.0004563226872259518,-0.0005299716887910977
-0.00048584698805698157,-0.0005613304535135866
-0.0003850480662882516,-0.0005114648998509885
-0.00048138549422915844,-0.0006105037593974183
-0.0005736540096433762,-0.0006312711850904318
-0.0005355176503420989,-0.0006227800738138889
-0.0004921705391658371,-0.0005096742169046209
-0.0004069906447002891,-0.0005466701970707755
-0.0006426482053077942,-0.00046541487965612305
-0.0003595218745656714,-0.000550050314174988
-0.0003105753649715881,-0.0005841212086904468
-0.0004565665794625806,-0.00048341867799661653
-0.0006182855828730238,-0.0006270608866727478
-0.00035203143196815834,-0.0005196146273398483
-0.00046550021885050086,-0.0005061958073244721
-0.0005134224622186379,-0.0004589276366352424
-0.0005456306772735342,-0.00046859441168101146
-0.0004278266290003163,-0.0004994582545621018
-0.0006543134047282129,-0.0005856010639716525
-0.0007615592702155949,-0.0006452022202227958
-0.0005801719269521444,-0.0006472526583085614
-0.0004811440151133439,-0.0003769871795529234
-0.0005900067212757376,-0.0006340715308718048
-0.00043475393505088,-0.0005567098323130404
-0.00042578487687849886,-0.0006880048073695244
-0.0003152227504360505,-0.00048274074495713304
-0.0005700335895649777,-0.0005954134096917141
-0.0006771042382116566,-0.0006136635406223112
-0.0004404282755359201,-0.0004240167812232798
-0.00044141473499159645,-0.0005499674384542574
-0.0006593236816624382,-0.0005754554541169687
-0.0004969064362549958,-0.0006457812516842409
-0.0004998586482047873,-0.0005024645144651174
-0.0005281940217162218,-0.0004952145849184131
-0.000680507524401075,-0.0005441708045051952
-0.0005640667078203876,-0.0006992016791038669
-0.0004424049910092265,-0.0004096214214980298
-0.0004366650674381134,-0.0005170189734586828
-0.0005157846711069114,-0.0006329162580986925
-0.0005815925919192555,-0.0005538959509618913
-0.0005372858043366513,-0.00047886977127564734
-0.00038773562148342045,-0.000405390352340107
-0.0004737014378110027,-0.0006017684333083917
-0.00047587985655994647,-0.0006243389405333755
-0.0005338870790243533,-0.0005346396508197904
-0.0005867747280127178,-0.0005363374722999747
-0.0005818091334404141,-0.0005794555827687287
-0.00042802600517710676,-0.0005376424357241838
-0.0006133172383715468,-0.0006096226459957332
-0.0005128409093911879,-0.0005624372700318014
-0.0004439398889335422,-0.0005429239160803512
-0.0005492606183786775,-0.0005719788784903646
-0.000458433889007015,-0.0005873640046184514
-0.0006383880681719578,-0.0005726839310637999
-0.0004881137543585323,-0.000534933580165653
-0.0003331715853630568,-0.0006067127374279613
-0.0004504234936667517,-0.0006698675354402939
-0.0005245207459889656,-0.0005125128636264131
-0.0005258063916122602,-0.0007159821097977304
-0.0003676256341672568,-0.0005851635066390637
-0.0005436918184702488,-0.0005513407513422219
-0.0006380835051418288,-0.000508188367990603
-0.0006610896450740533,-0.0005232743714457255
-0.0004489036585988426,-0.0005033424456538649
-0.00039793066738114113,-0.000515575313165928
-0.0004127494682665267,-0.00037888411857422977
-0.0005737588339235211,-0.0005146319127616872
-0.0005140618391835661,-0.0004980889324299742
-0.0003982711380645654,-0.000543752342097692
-0.0005677553154626036,-0.000600864091315656
-0.0004654796296845731,-0.0005873213702092261
-0.0006035476384530503,-0.0006489060171178673
-0.000614465270934228,-0.0006900689901830903
-0.0005536636474209322,-0.0007119748869341969
-0.00025966191817461404,-0.000507735471070192
-0.0005168602139855594,-0.000575502226388136
-0.000685209326613756,-0.0007800535172899359
-0.000640900849752768,-0.0006191466091131081
-0.00040436351577144425,-0.00043101637517806157
-0.0005629678652135928,-0.0004801997037168215
-0.000665150042307272,-0.0007357469580745457
-0.0005734469184174307,-0.0006171106321746223
-0.0005068349437987729,-0.0004460684909752821
-0.0005391198511051076,-0.0005045580015963225
-0.00047396791395748483,-0.0005907462075529502
-0.0006325330249159489,-0.0006090304243870914
-0.0006260304021354912,-0.0004354206476088196
-0.0004532009209098353,-0.00048207871776029254
-0.0005316439280479424,-0.0006570500288440861
-0.000555824360242374,-0.0005893014881792613
-0.0003126198089163923,-0.0006487965721118094
-0.0005569212912046595,-0.0005562756972958827
-0.000527956902635407,-0.000598061516781212
-0.0005178179519420567,-0.0005253940968129589
-0.0005996011516083977,-0.0004887954617521784
-0.0006611482212427466,-0.0005834697006685818
-0.00033785552859422197,-0.0003949242182198498
-0.00046946770830913476,-0.0006401339486427071
-0.00047967820407657236,-0.0005685569153842662
-0.000431437742590024,-0.0005625698539279966
-0.0005165224889874809,-0.0004084024284882748
-0.00038646995786573157,-0.0005207181841038189
-0.0005053929372367261,-0.0006306469752414001
-0.0005702395536459903,-0.0005182858499175325
-0.0005723726904988125,-0.0007100448619760114
-0.0005869455386847688,-0.0005763677497541142
-0.0005083099021967463,-0.0004519927176855898
-0.0005500281950232555,-0.0005752250555228766
-0.000532168745860484,-0.0005210208515743497
-0.000489702473834841,-0.0005185536699420235
-0.0006228339924367887,-0.0005119824875448042
-0.000530637684227786,-0.0005676165678226708
-0.00036022815297420685,-0.0005603968049342489
-0.0005548050991265319,-0.00042888636154514437
-0.0005335449750880628,-0.0006344421745010376
-0.0004305743235112347,-0.0005225045517476268
-0.00047418028116374966,-0.0004903290751577805
-0.0005416822482853245,-0.0005416968098321817
-0.00041899874255313385,-0.0005773187792660339
-0.0005030341049397924,-0.0006619796040712167
-0.00035027070265769567,-0.0005329153254416408
-0.0005075135446125367,-0.000524754563987706
-0.00047574622430823776,-0.00040136298700699236
-0.00034243965384694874,-0.0006448131149824343
-0.0004929203294408158,-0.0007371106151689011
-0.0005256005335233516,-0.0004709117872091495
-0.0005291397523216057,-0.0005555963483619974
-0.00045170817264228447,-0.0006111402960230494
-0.00038766702997961033,-0.00046709877046802184
-0.00041331730029026126,-0.0006005418829141407
-0.00046090359417372273,-0.0006216292552545521
-0.0005402068341811006,-0.0005653145421636863
-0.000566783948060201,-0.0005599614722201496
-0.0004801290342840714,-0.0006793214510002477
-0.0004113385671988823,-0.0005839785497959715
-0.0003758565344021969,-0.00034520293669204616
-0.0005248914785161984,-0.0004821052218292321
-0.0005759930903305177,-0.0004119782127499638
-0.0006004743978237359,-0.0005200274020993323
-0.0004204171597546047,-0.0005603949246488771
-0.00042205128705441464,-0.0005767860885697029
-0.000495286959967034,-0.0006290077897188606
-0.0006402606768128871,-0.0007536420078092521
-0.0005492267839771747,-0.0005876920889578141
-0.0005134567746064578,-0.0005282474029417727
-0.0003593555160048556,-0.0006191946487950073
-0.0004128274078699645,-0.0005251842386543304
-0.0005137910977616178,-0.0003874399862912048
-0.0006311125307605359,-0.0005288487790848784
-0.00027760939038434795,-0.0005590788767327881
-0.0004973741048082125,-0.0005645900799292614
-0.0005568280999853625,-0.0005866244730871051
-0.000553037177086324,-0.0005838349221918282
-0.0005502726079031905,-0.0006089130430153578
-0.0005173953555930311,-0.0007396902621544799
-0.0004187712512093711,-0.0007600561890719337
-0.0006076215465207202,-0.0006200904346927993
-0.0006171106508569002,-0.0005322493314202648
-0.0005801893499496336,-0.0005740753053129488
-0.0005775039797496495,-0.0005658129304074722
-0.000494389497658343,-0.0005009308060028861
-0.0005560526374873698,-0.0006199999979831228
-0.0005716947784950577,-0.0005942269935564903
-0.0006373735463246488,-0.00046873378210199323
-0.00044396156410531074,-0.0004932845500936756
-0.0005030651383841622,-0.0005408879399190214
-0.0003914476916014875,-0.0006266347610293099
-0.0004749101182447424,-0.000589707485425417
-0.0006266299062773761,-0.0005272257834730842
-0.0004999295299317197,-0.0006241855020719944
-0.0006305106993823584,-0.0005585371717551357
-0.0004811492628765679,-0.0006229987684154281
-0.0005691005507890701,-0.0005183606737472202
-0.0006335701204703836,-0.0005169364172362689
-0.0005909788788819315,-0.0006098823352543858
-0.0005135235569216912,-0.0005283032367524587
-0.000611983322762355,-0.0005754410238951735
-0.0005093101712085879,-0.0006292425024513326
-0.0004398434931927042,-0.00047807163125501706
-0.0004896311797093489,-0.0005350981751303108
-0.0004274483904768145,-0.000538919866233778
-0.00031574671097700513,-0.00045468945731719224
-0.0004640210695462388,-0.0005371303984322839
-0.0004455016225050068,-0.0006519956801848137
-0.0005959258780610099,-0.0006098509295394683
-0.000507678680984891,-0.0005239122763323056
-0.0006582037327799162,-0.0006628162595305742
-0.0004071333122451781,-0.0005895005825333755
-0.0002595943941906542,-0.000720025461468321
-0.0006178802723233456,-0.00042137061899572004
-0.0003273600660502751,-0.0004910048232801278
-0.0005035004009835697,-0.0005973949929312106
-0.0006353476906123534,-0.0004817356311203058
-0.000545249237049461,-0.0006924804562562503
-0.00048551852506539817,-0.0005366403668377595
-0.000491805691100855,-0.0005097057302244634
-0.0004256227867964757,-0.0007060972844172841
-0.00044471369702792085,-0.0004946532289848982
-0.0005849176876749906,-0.000650189058470696
-0.0005614831558791167,-0.0006520457075469555
-0.0006739505077372199,-0.00047245813184026986
-0.00043774734408941196,-0.0004599117270642772
-0.00045696627946290036,-0.000548799228794028
-0.0004900449925998585,-0.0006074056070553002
-0.0004884890982699286,-0.0004857451355537723
-0.0005832905759096674,-0.000676740743759896
-0.0003367435657055662,-0.0005042530268866141
-0.00036589444035906027,-0.0004876178980136592
-0.0004115244087954384,-0.000695674727230311
-0.0006178191247387943,-0.0004370915519467111
-0.000425121154889907,-0.0006439697656370758
-0.0005675876889227327,-0.000650019524454204
-0.0005829379277609847,-0.0006016298830551214
-0.0005898944998311562,-0.0006990332865779436
-0.0006593321767203175,-0.0005488383760029469
-0.0006060726882128886,-0.0006558367846961621
-0.0005314691246558478,-0.0005139801559631563
-0.0005038421648019265,-0.00047591387021295173
-0.0005689877811816402,-0.0006167387363585908
-0.0005997182606836127,-0.0006561860401006481
-0.0005367521951302745,-0.00046469835907980706
-0.0004895464445811015,-0.00048314292845852425
-0.00047590230694949387,-0.00069493090181727
-0.0004794968809962441,-0.0006091445516756
-0.0003844737121737607,-0.00046287186894300447
-0.0005178601288066131,-0.0006798773091994947
-0.0005411132168481325,-0.00042837268575057763
-0.0005301278597193981,-0.0005324480231542195
-0.0004861858312813494,-0.0006019423567047433
-0.00044009751734064295,-0.0005737083081882588
-0.0004595346466037542,-0.0006837117451846675
-0.0007005479330209896,-0.000624657969871989
-0.00042836924269906707,-0.00044772014023930495
-0.0006304832663265314,-0.0007145199074138908
-0.0005880356362081285,-0.0005027802221689859
-0.0003596593849730656,-0.0004896589169988141
-0.0005848880612550067,-0.0006960663603151618
-0.0005996380709037963,-0.0006690937739382008
-0.000446283062716879,-0.0005891114125323726
-0.0005067599208428142,-0.0006377615327569641
-0.0006592762020106724,-0.0006254549290352074
-0.000652116308822337,-0.000596003330371464
-0.0003975314754592896,-0.000499790736031458
-0.00041894380181062285,-0.0006329533904281259
-0.0005106552259226405,-0.0005307517357797664
-0.00044711375438932777,-0.0005431499715129462
-0.0005255486674841103,-0.0005781451325971299
-0.0003986175931898206,-0.0005720733507497133
-0.0003565280961875805,-0.000624561859028927
-0.0004272687103604733,-0.0005186399724864676
-0.0004642972963654346,-0.0005341662573676853
-0.00048766091473062545,-0.0004511196617611457
-0.000661856543290873,-0.0005214576808245663
-0.00028495070546796786,-0.0004989211255322923
-0.00045118081902262297,-0.0006930725238500912
-0.0004706870794695117,-0.00060802139171523
-0.00042286829583570995,-0.0006426001489409083
-0.00041298758821273207,-0.0005373980927936284
-0.0005742169223741378,-0.000573616400091681
-0.0005509034539192825,-0.0006238868494231609
-0.00045745474872616043,-0.0006949878036301982
-0.0006074682659595876,-0.0005077024381564543
